Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,England,8 wickets,Adelaide,"Dec 12-16, 1884"
Australia,England,England,inns & 230 runs,Adelaide,"Mar 24-28, 1892"
Australia,England,Australia,382 runs,Adelaide,"Jan 11-15, 1895"
Australia,England,Australia,inns & 13 runs,Adelaide,"Jan 14-19, 1898"
Australia,England,Australia,4 wickets,Adelaide,"Jan 17-23, 1902"
Australia,England,Australia,216 runs,Adelaide,"Jan 15-20, 1904"
Australia,England,Australia,245 runs,Adelaide,"Jan 10-16, 1908"
Australia,South Africa,South Africa,38 runs,Adelaide,"Jan 7-13, 1911"
Australia,England,England,7 wickets,Adelaide,"Jan 12-17, 1912"
Australia,England,Australia,119 runs,Adelaide,"Jan 14-20, 1921"
Australia,England,Australia,11 runs,Adelaide,"Jan 16-23, 1925"
Australia,England,England,12 runs,Adelaide,"Feb 1-8, 1929"
Australia,West Indies,Australia,10 wickets,Adelaide,"Dec 12-16, 1930"
Australia,South Africa,Australia,10 wickets,Adelaide,"Jan 29-Feb 2, 1932"
Australia,England,England,338 runs,Adelaide,"Jan 13-19, 1933"
Australia,England,Australia,148 runs,Adelaide,"Jan 29-Feb 4, 1937"
Australia,England,drawn,,Adelaide,"Jan 31-Feb 6, 1947"
Australia,India,Australia,inns & 16 runs,Adelaide,"Jan 23-28, 1948"
Australia,England,Australia,274 runs,Adelaide,"Feb 2-8, 1951"
Australia,West Indies,West Indies,6 wickets,Adelaide,"Dec 22-25, 1951"
Australia,South Africa,drawn,,Adelaide,"Jan 24-29, 1953"
Australia,England,England,5 wickets,Adelaide,"Jan 28-Feb 2, 1955"
Australia,England,Australia,10 wickets,Adelaide,"Jan 30-Feb 5, 1959"
Australia,West Indies,drawn,,Adelaide,"Jan 27-Feb 1, 1961"
Australia,England,drawn,,Adelaide,"Jan 25-30, 1963"
Australia,South Africa,South Africa,10 wickets,Adelaide,"Jan 24-29, 1964"
Australia,England,Australia,inns & 9 runs,Adelaide,"Jan 28-Feb 1, 1966"
Australia,India,Australia,146 runs,Adelaide,"Dec 23-28, 1967"
Australia,West Indies,drawn,,Adelaide,"Jan 24-29, 1969"
Australia,England,drawn,,Adelaide,"Jan 29-Feb 3, 1971"
Australia,Pakistan,Australia,inns & 114 runs,Adelaide,"Dec 22-27, 1972"
Australia,New Zealand,Australia,inns & 57 runs,Adelaide,"Jan 26-31, 1974"
Australia,England,Australia,163 runs,Adelaide,"Jan 25-30, 1975"
Australia,West Indies,Australia,190 runs,Adelaide,"Jan 23-28, 1976"
Australia,Pakistan,drawn,,Adelaide,"Dec 24-29, 1976"
