Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,Sri Lanka,Australia,173 runs,Hobart,"Dec 16-20, 1989"
Australia,New Zealand,Australia,inns & 222 runs,Hobart,"Nov 26-29, 1993"
Australia,Pakistan,Australia,155 runs,Hobart,"Nov 17-20, 1995"
Australia,New Zealand,drawn,,Hobart,"Nov 27-Dec 1, 1997"
Australia,Pakistan,Australia,4 wickets,Hobart,"Nov 18-22, 1999"
Australia,New Zealand,drawn,,Hobart,"Nov 22-26, 2001"
Australia,West Indies,Australia,9 wickets,Hobart,"Nov 17-21, 2005"
Australia,Sri Lanka,Australia,96 runs,Hobart,"Nov 16-20, 2007"
Australia,Pakistan,Australia,231 runs,Hobart,"Jan 14-18, 2010"
Australia,New Zealand,New Zealand,7 runs,Hobart,"Dec 9-12, 2011"
Australia,Sri Lanka,Australia,137 runs,Hobart,"Dec 14-18, 2012"
Australia,West Indies,Australia,inns & 212 runs,Hobart,"Dec 10-12, 2015"
Australia,South Africa,South Africa,inns & 80 runs,Hobart,"Nov 12-15, 2016"
Australia,England,Australia,146 runs,Hobart,"Jan 14-16, 2022"
