Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,drawn,,Perth,"Dec 11-16, 1970"
Australia,England,Australia,9 wickets,Perth,"Dec 13-17, 1974"
Australia,West Indies,West Indies,inns & 87 runs,Perth,"Dec 12-16, 1975"
Australia,India,Australia,2 wickets,Perth,"Dec 16-21, 1977"
Australia,England,England,166 runs,Perth,"Dec 15-20, 1978"
Australia,Pakistan,Australia,7 wickets,Perth,"Mar 24-29, 1979"
Australia,England,Australia,138 runs,Perth,"Dec 14-19, 1979"
Australia,New Zealand,Australia,8 wickets,Perth,"Dec 12-14, 1980"
Australia,Pakistan,Australia,286 runs,Perth,"Nov 13-17, 1981"
Australia,England,drawn,,Perth,"Nov 12-17, 1982"
Australia,Pakistan,Australia,inns & 9 runs,Perth,"Nov 11-14, 1983"
Australia,West Indies,West Indies,inns & 112 runs,Perth,"Nov 9-12, 1984"
Australia,New Zealand,New Zealand,6 wickets,Perth,"Nov 30-Dec 4, 1985"
Australia,England,drawn,,Perth,"Nov 28-Dec 3, 1986"
Australia,Sri Lanka,Australia,inns & 108 runs,Perth,"Feb 12-15, 1988"
Australia,West Indies,West Indies,169 runs,Perth,"Dec 2-6, 1988"
Australia,New Zealand,drawn,,Perth,"Nov 24-28, 1989"
Australia,England,Australia,9 wickets,Perth,"Feb 1-5, 1991"
Australia,India,Australia,300 runs,Perth,"Feb 1-5, 1992"
Australia,West Indies,West Indies,inns & 25 runs,Perth,"Jan 30-Feb 1, 1993"
Australia,New Zealand,drawn,,Perth,"Nov 12-16, 1993"
Australia,England,Australia,329 runs,Perth,"Feb 3-7, 1995"
Australia,Sri Lanka,Australia,inns & 36 runs,Perth,"Dec 8-11, 1995"
Australia,West Indies,West Indies,10 wickets,Perth,"Feb 1-3, 1997"
Australia,New Zealand,Australia,inns & 70 runs,Perth,"Nov 20-23, 1997"
Australia,England,Australia,7 wickets,Perth,"Nov 28-30, 1998"
Australia,Pakistan,Australia,inns & 20 runs,Perth,"Nov 26-28, 1999"
Australia,West Indies,Australia,inns & 27 runs,Perth,"Dec 1-3, 2000"
Australia,New Zealand,drawn,,Perth,"Nov 30-Dec 4, 2001"
Australia,England,Australia,inns & 48 runs,Perth,"Nov 29-Dec 1, 2002"
Australia,Zimbabwe,Australia,inns & 175 runs,Perth,"Oct 9-13, 2003"
Australia,Pakistan,Australia,491 runs,Perth,"Dec 16-19, 2004"
Australia,South Africa,drawn,,Perth,"Dec 16-20, 2005"
Australia,England,Australia,206 runs,Perth,"Dec 14-18, 2006"
Australia,India,India,72 runs,Perth,"Jan 16-19, 2008"
Australia,South Africa,South Africa,6 wickets,Perth,"Dec 17-21, 2008"
Australia,West Indies,Australia,35 runs,Perth,"Dec 16-20, 2009"
Australia,England,Australia,267 runs,Perth,"Dec 16-19, 2010"
Australia,India,Australia,inns & 37 runs,Perth,"Jan 13-15, 2012"
Australia,South Africa,South Africa,309 runs,Perth,"Nov 30-Dec 3, 2012"
Australia,England,Australia,150 runs,Perth,"Dec 13-17, 2013"
Australia,New Zealand,drawn,,Perth,"Nov 13-17, 2015"
Australia,South Africa,South Africa,177 runs,Perth,"Nov 3-7, 2016"
Australia,England,Australia,inns & 41 runs,Perth,"Dec 14-18, 2017"
Australia,India,Australia,146 runs,Perth,"Dec 14-18, 2018"
Australia,New Zealand,Australia,296 runs,Perth,"Dec 12-15, 2019"
