Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,Australia,5 wickets,Sydney,"Feb 17-21, 1882"
Australia,England,Australia,6 wickets,Sydney,"Mar 3-7, 1882"
Australia,England,England,69 runs,Sydney,"Jan 26-30, 1883"
Australia,England,Australia,4 wickets,Sydney,"Feb 17-21, 1883"
Australia,England,Australia,6 runs,Sydney,"Feb 20-24, 1885"
Australia,England,Australia,8 wickets,Sydney,"Mar 14-17, 1885"
Australia,England,England,13 runs,Sydney,"Jan 28-31, 1887"
Australia,England,England,71 runs,Sydney,"Feb 25-Mar 1, 1887"
Australia,England,England,126 runs,Sydney,"Feb 10-15, 1888"
Australia,England,Australia,72 runs,Sydney,"Jan 29-Feb 3, 1892"
Australia,England,England,10 runs,Sydney,"Dec 14-20, 1894"
Australia,England,Australia,inns & 147 runs,Sydney,"Feb 1-4, 1895"
Australia,England,England,9 wickets,Sydney,"Dec 13-17, 1897"
Australia,England,Australia,6 wickets,Sydney,"Feb 26-Mar 2, 1898"
Australia,England,England,inns & 124 runs,Sydney,"Dec 13-16, 1901"
Australia,England,Australia,7 wickets,Sydney,"Feb 14-18, 1902"
Australia,England,England,5 wickets,Sydney,"Dec 11-17, 1903"
Australia,England,England,157 runs,Sydney,"Feb 26-Mar 3, 1904"
Australia,England,Australia,2 wickets,Sydney,"Dec 13-19, 1907"
Australia,England,Australia,49 runs,Sydney,"Feb 21-27, 1908"
Australia,South Africa,Australia,inns & 114 runs,Sydney,"Dec 9-14, 1910"
Australia,South Africa,Australia,7 wickets,Sydney,"Mar 3-7, 1911"
Australia,England,Australia,146 runs,Sydney,"Dec 15-21, 1911"
Australia,England,England,70 runs,Sydney,"Feb 23-Mar 1, 1912"
Australia,England,Australia,377 runs,Sydney,"Dec 17-22, 1920"
Australia,England,Australia,9 wickets,Sydney,"Feb 25-Mar 1, 1921"
Australia,England,Australia,193 runs,Sydney,"Dec 19-27, 1924"
Australia,England,Australia,307 runs,Sydney,"Feb 27-Mar 4, 1925"
Australia,England,England,8 wickets,Sydney,"Dec 14-20, 1928"
Australia,West Indies,Australia,inns & 172 runs,Sydney,"Jan 1-5, 1931"
Australia,West Indies,West Indies,30 runs,Sydney,"Feb 27-Mar 4, 1931"
Australia,South Africa,Australia,inns & 155 runs,Sydney,"Dec 18-21, 1931"
Australia,England,England,10 wickets,Sydney,"Dec 2-7, 1932"
Australia,England,England,8 wickets,Sydney,"Feb 23-28, 1933"
Australia,England,England,inns & 22 runs,Sydney,"Dec 18-22, 1936"
Australia,England,Australia,inns & 33 runs,Sydney,"Dec 13-19, 1946"
Australia,England,Australia,5 wickets,Sydney,"Feb 28-Mar 5, 1947"
Australia,India,drawn,,Sydney,"Dec 12-18, 1947"
Australia,England,Australia,inns & 13 runs,Sydney,"Jan 5-9, 1951"
Australia,West Indies,Australia,7 wickets,Sydney,"Nov 30-Dec 5, 1951"
Australia,West Indies,Australia,202 runs,Sydney,"Jan 25-29, 1952"
Australia,South Africa,Australia,inns & 38 runs,Sydney,"Jan 9-13, 1953"
Australia,England,England,38 runs,Sydney,"Dec 17-22, 1954"
Australia,England,drawn,,Sydney,"Feb 25-Mar 3, 1955"
Australia,England,drawn,,Sydney,"Jan 9-15, 1959"
Australia,West Indies,West Indies,222 runs,Sydney,"Jan 13-18, 1961"
Australia,England,Australia,8 wickets,Sydney,"Jan 11-15, 1963"
Australia,England,drawn,,Sydney,"Feb 15-20, 1963"
Australia,South Africa,drawn,,Sydney,"Jan 10-15, 1964"
Australia,South Africa,drawn,,Sydney,"Feb 7-12, 1964"
Australia,England,England,inns & 93 runs,Sydney,"Jan 7-11, 1966"
Australia,India,Australia,144 runs,Sydney,"Jan 26-31, 1968"
Australia,West Indies,Australia,10 wickets,Sydney,"Jan 3-8, 1969"
Australia,West Indies,Australia,382 runs,Sydney,"Feb 14-20, 1969"
Australia,England,England,299 runs,Sydney,"Jan 9-14, 1971"
Australia,England,England,62 runs,Sydney,"Feb 12-17, 1971"
Australia,Pakistan,Australia,52 runs,Sydney,"Jan 6-11, 1973"
Australia,New Zealand,drawn,,Sydney,"Jan 5-10, 1974"
Australia,England,Australia,171 runs,Sydney,"Jan 4-9, 1975"
Australia,West Indies,Australia,7 wickets,Sydney,"Jan 3-7, 1976"
Australia,Pakistan,Pakistan,8 wickets,Sydney,"Jan 14-18, 1977"
Australia,India,India,inns & 2 runs,Sydney,"Jan 7-12, 1978"
Australia,England,England,93 runs,Sydney,"Jan 6-11, 1979"
Australia,England,England,9 wickets,Sydney,"Feb 10-14, 1979"
Australia,England,Australia,6 wickets,Sydney,"Jan 4-8, 1980"
Australia,India,Australia,inns & 4 runs,Sydney,"Jan 2-4, 1981"
Australia,West Indies,drawn,,Sydney,"Jan 2-6, 1982"
Australia,England,drawn,,Sydney,"Jan 2-7, 1983"
Australia,Pakistan,Australia,10 wickets,Sydney,"Jan 2-6, 1984"
Australia,West Indies,Australia,inns & 55 runs,Sydney,"Dec 30, 1984 - Jan 2, 1985"
Australia,New Zealand,Australia,4 wickets,Sydney,"Nov 22-26, 1985"
Australia,India,drawn,,Sydney,"Jan 2-6, 1986"
Australia,England,Australia,55 runs,Sydney,"Jan 10-15, 1987"
Australia,England,drawn,,Sydney,"Jan 29-Feb 2, 1988"
Australia,West Indies,Australia,7 wickets,Sydney,"Jan 26-30, 1989"
Australia,Pakistan,drawn,,Sydney,"Feb 3-8, 1990"
Australia,England,drawn,,Sydney,"Jan 4-8, 1991"
Australia,India,drawn,,Sydney,"Jan 2-6, 1992"
Australia,West Indies,drawn,,Sydney,"Jan 2-6, 1993"
Australia,South Africa,South Africa,5 runs,Sydney,"Jan 2-6, 1994"
Australia,England,drawn,,Sydney,"Jan 1-5, 1995"
Australia,Pakistan,Pakistan,74 runs,Sydney,"Nov 30-Dec 4, 1995"
Australia,West Indies,Australia,124 runs,Sydney,"Nov 29-Dec 3, 1996"
Australia,South Africa,Australia,inns & 21 runs,Sydney,"Jan 2-5, 1998"
Australia,England,Australia,98 runs,Sydney,"Jan 2-5, 1999"
Australia,India,Australia,inns & 141 runs,Sydney,"Jan 2-4, 2000"
Australia,West Indies,Australia,6 wickets,Sydney,"Jan 2-6, 2001"
Australia,South Africa,Australia,10 wickets,Sydney,"Jan 2-5, 2002"
Australia,England,England,225 runs,Sydney,"Jan 2-6, 2003"
Australia,Zimbabwe,Australia,9 wickets,Sydney,"Oct 17-20, 2003"
Australia,India,drawn,,Sydney,"Jan 2-6, 2004"
Australia,Pakistan,Australia,9 wickets,Sydney,"Jan 2-5, 2005"
Australia,ICC World XI,Australia,210 runs,Sydney,"Oct 14-17, 2005"
Australia,South Africa,Australia,8 wickets,Sydney,"Jan 2-6, 2006"
Australia,England,Australia,10 wickets,Sydney,"Jan 2-5, 2007"
Australia,India,Australia,122 runs,Sydney,"Jan 2-6, 2008"
Australia,South Africa,Australia,103 runs,Sydney,"Jan 3-7, 2009"
Australia,Pakistan,Australia,36 runs,Sydney,"Jan 3-6, 2010"
Australia,England,England,inns & 83 runs,Sydney,"Jan 3-7, 2011"
Australia,India,Australia,inns & 68 runs,Sydney,"Jan 3-6, 2012"
Australia,Sri Lanka,Australia,5 wickets,Sydney,"Jan 3-6, 2013"
Australia,England,Australia,281 runs,Sydney,"Jan 3-5, 2014"
Australia,India,drawn,,Sydney,"Jan 6-10, 2015"
Australia,West Indies,drawn,,Sydney,"Jan 3-7, 2016"
Australia,Pakistan,Australia,220 runs,Sydney,"Jan 3-7, 2017"
Australia,England,Australia,inns & 123 runs,Sydney,"Jan 4-8, 2018"
Australia,India,drawn,,Sydney,"Jan 3-7, 2019"
Australia,New Zealand,Australia,279 runs,Sydney,"Jan 3-6, 2020"
Australia,India,drawn,,Sydney,"Jan 7-11, 2021"
Australia,England,drawn,,Sydney,"Jan 5-9, 2022"
