Host Team,Away Team,Winner,Margin,Ground,Match Date
England,Australia,drawn,,Manchester,"Jul 10-12, 1884"
England,Australia,England,4 wickets,Manchester,"Jul 5-7, 1886"
England,Australia,England,inns & 21 runs,Manchester,"Aug 30-31, 1888"
England,Australia,drawn,,Manchester,"Aug 24-26, 1893"
England,Australia,Australia,3 wickets,Manchester,"Jul 16-18, 1896"
England,Australia,drawn,,Manchester,"Jul 17-19, 1899"
England,Australia,Australia,3 runs,Manchester,"Jul 24-26, 1902"
England,Australia,England,inns & 80 runs,Manchester,"Jul 24-26, 1905"
England,Australia,drawn,,Manchester,"Jul 26-28, 1909"
England,Australia South Africa,Australia,inns & 88 runs,Manchester,"May 27-28, 1912"
England,Australia,drawn,,Manchester,"Jul 29-31, 1912"
England,Australia,drawn,,Manchester,"Jul 23-26, 1921"
England,South Africa,drawn,,Manchester,"Jul 26-29, 1924"
England,Australia,drawn,,Manchester,"Jul 24-27, 1926"
England,West Indies,England,inns & 30 runs,Manchester,"Jul 21-24, 1928"
England,South Africa,England,inns & 32 runs,Manchester,"Jul 27-30, 1929"
England,Australia,drawn,,Manchester,"Jul 25-29, 1930"
England,New Zealand,drawn,,Manchester,"Aug 15-18, 1931"
England,West Indies,drawn,,Manchester,"Jul 22-25, 1933"
England,Australia,drawn,,Manchester,"Jul 6-10, 1934"
England,South Africa,drawn,,Manchester,"Jul 27-30, 1935"
England,India,drawn,,Manchester,"Jul 25-28, 1936"
England,New Zealand,England,130 runs,Manchester,"Jul 24-27, 1937"
England,West Indies,drawn,,Manchester,"Jul 22-25, 1939"
England,India,drawn,,Manchester,"Jul 20-23, 1946"
England,South Africa,England,7 wickets,Manchester,"Jul 5-9, 1947"
England,Australia,drawn,,Manchester,"Jul 8-13, 1948"
England,New Zealand,drawn,,Manchester,"Jul 23-26, 1949"
England,West Indies,England,202 runs,Manchester,"Jun 8-12, 1950"
England,South Africa,England,9 wickets,Manchester,"Jul 5-10, 1951"
England,India,England,inns & 207 runs,Manchester,"Jul 17-19, 1952"
England,Australia,drawn,,Manchester,"Jul 9-14, 1953"
England,Pakistan,drawn,,Manchester,"Jul 22-27, 1954"
England,South Africa,South Africa,3 wickets,Manchester,"Jul 7-12, 1955"
England,Australia,England,inns & 170 runs,Manchester,"Jul 26-31, 1956"
England,New Zealand,England,inns & 13 runs,Manchester,"Jul 24-29, 1958"
England,India,England,171 runs,Manchester,"Jul 23-28, 1959"
England,South Africa,drawn,,Manchester,"Jul 21-26, 1960"
England,Australia,Australia,54 runs,Manchester,"Jul 27-Aug 1, 1961"
England,West Indies,West Indies,10 wickets,Manchester,"Jun 6-10, 1963"
England,Australia,drawn,,Manchester,"Jul 23-28, 1964"
England,West Indies,West Indies,inns & 40 runs,Manchester,"Jun 2-4, 1966"
England,Australia,Australia,159 runs,Manchester,"Jun 6-11, 1968"
England,West Indies,England,10 wickets,Manchester,"Jun 12-17, 1969"
England,India,drawn,,Manchester,"Aug 5-10, 1971"
England,Australia,England,89 runs,Manchester,"Jun 8-13, 1972"
England,India,England,113 runs,Manchester,"Jun 6-11, 1974"
England,West Indies,West Indies,425 runs,Manchester,"Jul 8-13, 1976"
England,Australia,England,9 wickets,Manchester,"Jul 7-12, 1977"
England,West Indies,drawn,,Manchester,"Jul 10-15, 1980"
England,Australia,England,103 runs,Manchester,"Aug 13-17, 1981"
England,India,drawn,,Manchester,"Jun 24-28, 1982"
England,West Indies,West Indies,inns & 64 runs,Manchester,"Jul 26-31, 1984"
England,Australia,drawn,,Manchester,"Aug 1-6, 1985"
England,Pakistan,drawn,,Manchester,"Jun 4-9, 1987"
England,West Indies,West Indies,inns & 156 runs,Manchester,"Jun 30-Jul 5, 1988"
England,Australia,Australia,9 wickets,Manchester,"Jul 27-Aug 1, 1989"
England,India,drawn,,Manchester,"Aug 9-14, 1990"
England,Pakistan,drawn,,Manchester,"Jul 2-7, 1992"
England,Australia,Australia,179 runs,Manchester,"Jun 3-7, 1993"
England,New Zealand,drawn,,Manchester,"Jun 30-Jul 5, 1994"
England,West Indies,England,6 wickets,Manchester,"Jul 27-30, 1995"
England,Australia,Australia,268 runs,Manchester,"Jul 3-7, 1997"
England,South Africa,drawn,,Manchester,"Jul 2-6, 1998"
England,New Zealand,drawn,,Manchester,"Aug 5-9, 1999"
England,West Indies,drawn,,Manchester,"Aug 3-7, 2000"
England,Pakistan,Pakistan,108 runs,Manchester,"May 31-Jun 4, 2001"
England,Sri Lanka,England,10 wickets,Manchester,"Jun 13-17, 2002"
England,West Indies,England,7 wickets,Manchester,"Aug 12-16, 2004"
England,Australia,drawn,,Manchester,"Aug 11-15, 2005"
England,Pakistan,England,inns & 120 runs,Manchester,"Jul 27-29, 2006"
England,West Indies,England,60 runs,Manchester,"Jun 7-11, 2007"
England,New Zealand,England,6 wickets,Manchester,"May 23-26, 2008"
England,Bangladesh,England,inns & 80 runs,Manchester,"Jun 4-6, 2010"
England,Australia,drawn,,Manchester,"Aug 1-5, 2013"
England,India,England,inns & 54 runs,Manchester,"Aug 7-9, 2014"
England,Pakistan,England,330 runs,Manchester,"Jul 22-25, 2016"
England,South Africa,England,177 runs,Manchester,"Aug 4-7, 2017"
England,Australia,Australia,185 runs,Manchester,"Sep 4-8, 2019"
England,West Indies,England,113 runs,Manchester,"Jul 16-20, 2020"
England,West Indies,England,269 runs,Manchester,"Jul 24-28, 2020"
England,Pakistan,England,3 wickets,Manchester,"Aug 5-8, 2020"
