Host Team,Away Team,Winner,Margin,Ground,Match Date
India,West Indies,West Indies,138 runs,Ahmedabad,"Nov 12-16, 1983"
India,Pakistan,drawn,,Ahmedabad,"Mar 4-9, 1987"
India,Sri Lanka,India,inns & 17 runs,Ahmedabad,"Feb 8-12, 1994"
India,South Africa,India,64 runs,Ahmedabad,"Nov 20-23, 1996"
India,New Zealand,drawn,,Ahmedabad,"Oct 29-Nov 2, 1999"
India,England,drawn,,Ahmedabad,"Dec 11-15, 2001"
India,New Zealand,drawn,,Ahmedabad,"Oct 8-12, 2003"
India,Sri Lanka,India,259 runs,Ahmedabad,"Dec 18-22, 2005"
India,South Africa,South Africa,inns & 90 runs,Ahmedabad,"Apr 3-5, 2008"
India,Sri Lanka,drawn,,Ahmedabad,"Nov 16-20, 2009"
India,New Zealand,drawn,,Ahmedabad,"Nov 4-8, 2010"
India,England,India,9 wickets,Ahmedabad,"Nov 15-19, 2012"
India,England,India,10 wickets,Ahmedabad,"Feb 24-25, 2021"
India,England,India,inns & 25 runs,Ahmedabad,"Mar 4-6, 2021"
