Host Team,Away Team,Winner,Margin,Ground,Match Date
India,West Indies,West Indies,267 runs,Bengaluru,"Nov 22-27, 1974"
India,England,India,140 runs,Bengaluru,"Jan 28-Feb 2, 1977"
India,West Indies,drawn,,Bengaluru,"Dec 15-20, 1978"
India,Australia,drawn,,Bengaluru,"Sep 19-24, 1979"
India,Pakistan,drawn,,Bengaluru,"Nov 21-26, 1979"
India,England,drawn,,Bengaluru,"Dec 9-14, 1981"
India,Pakistan,drawn,,Bengaluru,"Sep 14-19, 1983"
India,Pakistan,Pakistan,16 runs,Bengaluru,"Mar 13-17, 1987"
India,New Zealand,India,172 runs,Bengaluru,"Nov 12-17, 1988"
India,Sri Lanka,India,inns & 95 runs,Bengaluru,"Jan 26-30, 1994"
India,New Zealand,India,8 wickets,Bengaluru,"Oct 18-20, 1995"
India,Australia,Australia,8 wickets,Bengaluru,"Mar 25-28, 1998"
India,South Africa,South Africa,inns & 71 runs,Bengaluru,"Mar 2-6, 2000"
India,England,drawn,,Bengaluru,"Dec 19-23, 2001"
India,Australia,Australia,217 runs,Bengaluru,"Oct 6-10, 2004"
India,Pakistan,Pakistan,168 runs,Bengaluru,"Mar 24-28, 2005"
India,Pakistan,drawn,,Bengaluru,"Dec 8-12, 2007"
India,Australia,drawn,,Bengaluru,"Oct 9-13, 2008"
India,Australia,India,7 wickets,Bengaluru,"Oct 9-13, 2010"
India,New Zealand,India,5 wickets,Bengaluru,"Aug 31-Sep 3, 2012"
India,South Africa,drawn,,Bengaluru,"Nov 14-18, 2015"
India,Australia,India,75 runs,Bengaluru,"Mar 4-7, 2017"
India,Afghanistan,India,inns & 262 runs,Bengaluru,"Jun 14-15, 2018"
