Host Team,Away Team,Winner,Margin,Ground,Match Date
India,England,England,202 runs,Chennai,"Feb 10-13, 1934"
India,West Indies,West Indies,inns & 193 runs,Chennai,"Jan 27-31, 1949"
India,England,India,inns & 8 runs,Chennai,"Feb 6-10, 1952"
India,Pakistan,drawn,,Chennai,"Nov 28-Dec 1, 1952"
India,New Zealand,India,inns & 109 runs,Chennai,"Jan 6-11, 1956"
India,Australia,Australia,inns & 5 runs,Chennai,"Oct 19-23, 1956"
India,West Indies,West Indies,295 runs,Chennai,"Jan 21-26, 1959"
India,Australia,Australia,inns & 55 runs,Chennai,"Jan 13-17, 1960"
India,Pakistan,drawn,,Chennai,"Jan 13-18, 1961"
India,England,India,128 runs,Chennai,"Jan 10-15, 1962"
India,England,drawn,,Chennai,"Jan 10-15, 1964"
India,Australia,Australia,139 runs,Chennai,"Oct 2-7, 1964"
India,New Zealand,drawn,,Chennai,"Feb 27-Mar 2, 1965"
India,West Indies,drawn,,Chennai,"Jan 13-18, 1967"
India,Australia,Australia,77 runs,Chennai,"Dec 24-28, 1969"
India,England,India,4 wickets,Chennai,"Jan 12-17, 1973"
India,West Indies,India,100 runs,Chennai,"Jan 11-15, 1975"
India,New Zealand,India,216 runs,Chennai,"Nov 26-Dec 2, 1976"
India,England,England,200 runs,Chennai,"Jan 14-19, 1977"
India,West Indies,India,3 wickets,Chennai,"Jan 12-16, 1979"
India,Australia,drawn,,Chennai,"Sep 11-16, 1979"
India,Pakistan,India,10 wickets,Chennai,"Jan 15-20, 1980"
India,England,drawn,,Chennai,"Jan 13-18, 1982"
India,Sri Lanka,drawn,,Chennai,"Sep 17-22, 1982"
India,West Indies,drawn,,Chennai,"Dec 24-29, 1983"
India,England,England,9 wickets,Chennai,"Jan 13-18, 1985"
India,Australia,tied,,Chennai,"Sep 18-22, 1986"
India,Pakistan,drawn,,Chennai,"Feb 3-8, 1987"
India,West Indies,India,255 runs,Chennai,"Jan 11-15, 1988"
India,England,India,inns & 22 runs,Chennai,"Feb 11-15, 1993"
India,New Zealand,drawn,,Chennai,"Oct 25-29, 1995"
India,Australia,India,179 runs,Chennai,"Mar 6-10, 1998"
India,Pakistan,Pakistan,12 runs,Chennai,"Jan 28-31, 1999"
India,Australia,India,2 wickets,Chennai,"Mar 18-22, 2001"
India,West Indies,India,8 wickets,Chennai,"Oct 17-20, 2002"
India,Australia,drawn,,Chennai,"Oct 14-18, 2004"
India,Sri Lanka,drawn,,Chennai,"Dec 2-6, 2005"
India,South Africa,drawn,,Chennai,"Mar 26-30, 2008"
India,England,India,6 wickets,Chennai,"Dec 11-15, 2008"
India,Australia,India,8 wickets,Chennai,"Feb 22-26, 2013"
India,England,India,inns & 75 runs,Chennai,"Dec 16-20, 2016"
India,England,England,227 runs,Chennai,"Feb 5-9, 2021"
India,England,India,317 runs,Chennai,"Feb 13-16, 2021"
