Host Team,Away Team,Winner,Margin,Ground,Match Date
India,West Indies,drawn,,Delhi,"Nov 10-14, 1948"
India,England,drawn,,Delhi,"Nov 2-7, 1951"
India,Pakistan,India,inns & 70 runs,Delhi,"Oct 16-18, 1952"
India,New Zealand,drawn,,Delhi,"Dec 16-21, 1955"
India,West Indies,drawn,,Delhi,"Feb 6-11, 1959"
India,Australia,Australia,inns & 127 runs,Delhi,"Dec 12-16, 1959"
India,Pakistan,drawn,,Delhi,"Feb 8-13, 1961"
India,England,drawn,,Delhi,"Dec 13-18, 1961"
India,England,drawn,,Delhi,"Feb 8-13, 1964"
India,New Zealand,India,7 wickets,Delhi,"Mar 19-22, 1965"
India,Australia,India,7 wickets,Delhi,"Nov 28-Dec 2, 1969"
India,England,England,6 wickets,Delhi,"Dec 20-25, 1972"
India,West Indies,West Indies,inns & 17 runs,Delhi,"Dec 11-15, 1974"
India,England,England,inns & 25 runs,Delhi,"Dec 17-22, 1976"
India,West Indies,drawn,,Delhi,"Jan 24-29, 1979"
India,Australia,drawn,,Delhi,"Oct 13-18, 1979"
India,Pakistan,drawn,,Delhi,"Dec 4-9, 1979"
India,England,drawn,,Delhi,"Dec 23-28, 1981"
India,West Indies,drawn,,Delhi,"Oct 29-Nov 3, 1983"
India,England,England,8 wickets,Delhi,"Dec 12-17, 1984"
India,Australia,drawn,,Delhi,"Sep 26-30, 1986"
India,West Indies,West Indies,5 wickets,Delhi,"Nov 25-29, 1987"
India,Zimbabwe,India,inns & 13 runs,Delhi,"Mar 13-17, 1993"
India,Australia,India,7 wickets,Delhi,"Oct 10-13, 1996"
India,Pakistan,India,212 runs,Delhi,"Feb 4-7, 1999"
India,Zimbabwe,India,7 wickets,Delhi,"Nov 18-22, 2000"
India,Zimbabwe,India,4 wickets,Delhi,"Feb 28-Mar 4, 2002"
India,Sri Lanka,India,188 runs,Delhi,"Dec 10-14, 2005"
India,Pakistan,India,6 wickets,Delhi,"Nov 22-26, 2007"
India,Australia,drawn,,Delhi,"Oct 29-Nov 2, 2008"
India,West Indies,India,5 wickets,Delhi,"Nov 6-9, 2011"
India,Australia,India,6 wickets,Delhi,"Mar 22-24, 2013"
India,South Africa,India,337 runs,Delhi,"Dec 3-7, 2015"
India,Sri Lanka,drawn,,Delhi,"Dec 2-6, 2017"
