Host Team,Away Team,Winner,Margin,Ground,Match Date
India,England,England,8 wickets,Kanpur,"Jan 12-14, 1952"
India,West Indies,West Indies,203 runs,Kanpur,"Dec 12-17, 1958"
India,Australia,India,119 runs,Kanpur,"Dec 19-24, 1959"
India,Pakistan,drawn,,Kanpur,"Dec 16-21, 1960"
India,England,drawn,,Kanpur,"Dec 1-6, 1961"
India,England,drawn,,Kanpur,"Feb 15-20, 1964"
India,Australia,drawn,,Kanpur,"Nov 15-20, 1969"
India,England,drawn,,Kanpur,"Jan 25-30, 1973"
India,New Zealand,drawn,,Kanpur,"Nov 18-23, 1976"
India,West Indies,drawn,,Kanpur,"Feb 2-8, 1979"
India,Australia,India,153 runs,Kanpur,"Oct 2-7, 1979"
India,Pakistan,drawn,,Kanpur,"Dec 25-30, 1979"
India,England,drawn,,Kanpur,"Jan 30-Feb 4, 1982"
India,West Indies,West Indies,inns & 83 runs,Kanpur,"Oct 21-25, 1983"
India,England,drawn,,Kanpur,"Jan 31-Feb 5, 1985"
India,Sri Lanka,drawn,,Kanpur,"Dec 17-22, 1986"
India,South Africa,India,280 runs,Kanpur,"Dec 8-12, 1996"
India,New Zealand,India,8 wickets,Kanpur,"Oct 22-25, 1999"
India,South Africa,drawn,,Kanpur,"Nov 20-24, 2004"
India,South Africa,India,8 wickets,Kanpur,"Apr 11-13, 2008"
India,Sri Lanka,India,inns & 144 runs,Kanpur,"Nov 24-27, 2009"
India,New Zealand,India,197 runs,Kanpur,"Sep 22-26, 2016"
India,New Zealand,drawn,,Kanpur,"Nov 25-29, 2021"
