Host Team,Away Team,Winner,Margin,Ground,Match Date
India,West Indies,West Indies,243 runs,Mohali,"Dec 10-14, 1994"
India,Sri Lanka,drawn,,Mohali,"Nov 19-23, 1997"
India,New Zealand,drawn,,Mohali,"Oct 10-14, 1999"
India,England,India,10 wickets,Mohali,"Dec 3-6, 2001"
India,New Zealand,drawn,,Mohali,"Oct 16-20, 2003"
India,Pakistan,drawn,,Mohali,"Mar 8-12, 2005"
India,England,India,9 wickets,Mohali,"Mar 9-13, 2006"
India,Australia,India,320 runs,Mohali,"Oct 17-21, 2008"
India,England,drawn,,Mohali,"Dec 19-23, 2008"
India,Australia,India,1 wicket,Mohali,"Oct 1-5, 2010"
India,Australia,India,6 wickets,Mohali,"Mar 14-18, 2013"
India,South Africa,India,108 runs,Mohali,"Nov 5-7, 2015"
India,England,India,8 wickets,Mohali,"Nov 26-29, 2016"
