Host Team,Away Team,Winner,Margin,Ground,Match Date
India,England,England,9 wickets,Mumbai,"Dec 15-18, 1933"
India,West Indies,West Indies,201 runs,Mumbai,"Jan 23-29, 1975"
India,New Zealand,India,162 runs,Mumbai,"Nov 10-15, 1976"
India,England,drawn,,Mumbai,"Feb 11-16, 1977"
India,West Indies,drawn,,Mumbai,"Dec 1-6, 1978"
India,Australia,India,inns & 100 runs,Mumbai,"Nov 3-7, 1979"
India,Pakistan,India,131 runs,Mumbai,"Dec 16-20, 1979"
India,England,England,10 wickets,Mumbai,"Feb 15-19, 1980"
India,England,India,138 runs,Mumbai,"Nov 27-Dec 1, 1981"
India,West Indies,drawn,,Mumbai,"Nov 24-29, 1983"
India,England,India,8 wickets,Mumbai,"Nov 28-Dec 3, 1984"
India,Australia,drawn,,Mumbai,"Oct 15-19, 1986"
India,West Indies,drawn,,Mumbai,"Dec 11-16, 1987"
India,New Zealand,New Zealand,136 runs,Mumbai,"Nov 24-29, 1988"
India,England,India,inns & 15 runs,Mumbai,"Feb 19-23, 1993"
India,West Indies,India,96 runs,Mumbai,"Nov 18-22, 1994"
India,Sri Lanka,drawn,,Mumbai,"Dec 3-7, 1997"
India,South Africa,South Africa,4 wickets,Mumbai,"Feb 24-26, 2000"
India,Australia,Australia,10 wickets,Mumbai,"Feb 27-Mar 1, 2001"
India,West Indies,India,inns & 112 runs,Mumbai,"Oct 9-12, 2002"
India,Australia,India,13 runs,Mumbai,"Nov 3-5, 2004"
India,England,England,212 runs,Mumbai,"Mar 18-22, 2006"
India,West Indies,drawn,,Mumbai,"Nov 22-26, 2011"
India,England,England,10 wickets,Mumbai,"Nov 23-26, 2012"
India,West Indies,India,inns & 126 runs,Mumbai,"Nov 14-16, 2013"
India,England,India,inns & 36 runs,Mumbai,"Dec 8-12, 2016"
India,New Zealand,India,372 runs,Mumbai,"Dec 3-6, 2021"
