Host Team,Away Team,Winner,Margin,Ground,Match Date
India,West Indies,drawn,,Mumbai (BS),"Dec 9-13, 1948"
India,West Indies,drawn,,Mumbai (BS),"Feb 4-8, 1949"
India,England,drawn,,Mumbai (BS),"Dec 14-19, 1951"
India,Pakistan,India,10 wickets,Mumbai (BS),"Nov 13-16, 1952"
India,New Zealand,India,inns & 27 runs,Mumbai (BS),"Dec 2-7, 1955"
India,Australia,drawn,,Mumbai (BS),"Oct 26-31, 1956"
India,West Indies,drawn,,Mumbai (BS),"Nov 28-Dec 3, 1958"
India,Australia,drawn,,Mumbai (BS),"Jan 1-6, 1960"
India,Pakistan,drawn,,Mumbai (BS),"Dec 2-7, 1960"
India,England,drawn,,Mumbai (BS),"Nov 11-16, 1961"
India,England,drawn,,Mumbai (BS),"Jan 21-26, 1964"
India,Australia,India,2 wickets,Mumbai (BS),"Oct 10-15, 1964"
India,New Zealand,drawn,,Mumbai (BS),"Mar 12-15, 1965"
India,West Indies,West Indies,6 wickets,Mumbai (BS),"Dec 13-18, 1966"
India,New Zealand,India,60 runs,Mumbai (BS),"Sep 25-30, 1969"
India,Australia,Australia,8 wickets,Mumbai (BS),"Nov 4-9, 1969"
India,England,drawn,,Mumbai (BS),"Feb 6-11, 1973"
India,Sri Lanka,India,inns & 24 runs,Mumbai (BS),"Dec 2-6, 2009"
