Host Team,Away Team,Winner,Margin,Ground,Match Date
India,New Zealand,New Zealand,167 runs,Nagpur,"Oct 3-8, 1969"
India,Pakistan,drawn,,Nagpur,"Oct 5-10, 1983"
India,Sri Lanka,India,inns & 106 runs,Nagpur,"Dec 27-31, 1986"
India,West Indies,drawn,,Nagpur,"Dec 1-5, 1994"
India,Sri Lanka,drawn,,Nagpur,"Nov 26-30, 1997"
India,Zimbabwe,drawn,,Nagpur,"Nov 25-29, 2000"
India,Zimbabwe,India,inns & 101 runs,Nagpur,"Feb 21-25, 2002"
India,Australia,Australia,342 runs,Nagpur,"Oct 26-29, 2004"
India,England,drawn,,Nagpur,"Mar 1-5, 2006"
India,Australia,India,172 runs,Nagpur,"Nov 6-10, 2008"
India,South Africa,South Africa,inns & 6 runs,Nagpur,"Feb 6-9, 2010"
India,New Zealand,India,inns & 198 runs,Nagpur,"Nov 20-23, 2010"
India,England,drawn,,Nagpur,"Dec 13-17, 2012"
India,South Africa,India,124 runs,Nagpur,"Nov 25-27, 2015"
India,Sri Lanka,India,inns & 239 runs,Nagpur,"Nov 24-27, 2017"
