Host Team,Away Team,Winner,Margin,Ground,Match Date
New Zealand,England,drawn,,Auckland,"Feb 14-17, 1930"
New Zealand,England,drawn,,Auckland,"Feb 21-24, 1930"
New Zealand,England,drawn,,Auckland,"Mar 31-Apr 3, 1933"
New Zealand,West Indies,drawn,,Auckland,"Feb 15-19, 1952"
New Zealand,South Africa,drawn,,Auckland,"Mar 13-17, 1953"
New Zealand,England,England,inns & 20 runs,Auckland,"Mar 25-28, 1955"
New Zealand,West Indies,New Zealand,190 runs,Auckland,"Mar 9-13, 1956"
New Zealand,England,drawn,,Auckland,"Mar 14-18, 1959"
New Zealand,England,England,inns & 215 runs,Auckland,"Feb 23-27, 1963"
New Zealand,South Africa,drawn,,Auckland,"Mar 13-17, 1964"
New Zealand,Pakistan,drawn,,Auckland,"Jan 29-Feb 2, 1965"
New Zealand,England,drawn,,Auckland,"Mar 11-15, 1966"
New Zealand,India,India,272 runs,Auckland,"Mar 7-12, 1968"
New Zealand,West Indies,West Indies,5 wickets,Auckland,"Feb 27-Mar 3, 1969"
New Zealand,England,drawn,,Auckland,"Mar 5-8, 1971"
New Zealand,Pakistan,drawn,,Auckland,"Feb 16-19, 1973"
New Zealand,Australia,Australia,297 runs,Auckland,"Mar 22-24, 1974"
New Zealand,England,England,inns & 83 runs,Auckland,"Feb 20-25, 1975"
New Zealand,India,India,8 wickets,Auckland,"Jan 24-28, 1976"
New Zealand,Australia,Australia,10 wickets,Auckland,"Feb 25-Mar 1, 1977"
New Zealand,England,drawn,,Auckland,"Mar 4-10, 1978"
New Zealand,Pakistan,drawn,,Auckland,"Feb 23-28, 1979"
New Zealand,West Indies,drawn,,Auckland,"Feb 29-Mar 5, 1980"
New Zealand,India,drawn,,Auckland,"Mar 13-18, 1981"
New Zealand,Australia,New Zealand,5 wickets,Auckland,"Mar 12-16, 1982"
New Zealand,England,drawn,,Auckland,"Feb 10-15, 1984"
New Zealand,Pakistan,New Zealand,inns & 99 runs,Auckland,"Jan 25-28, 1985"
New Zealand,Australia,New Zealand,8 wickets,Auckland,"Mar 13-17, 1986"
New Zealand,West Indies,West Indies,10 wickets,Auckland,"Feb 27-Mar 3, 1987"
New Zealand,England,drawn,,Auckland,"Feb 25-29, 1988"
New Zealand,Pakistan,drawn,,Auckland,"Feb 24-28, 1989"
New Zealand,India,drawn,,Auckland,"Feb 22-26, 1990"
New Zealand,Sri Lanka,drawn,,Auckland,"Mar 1-5, 1991"
New Zealand,England,England,168 runs,Auckland,"Jan 30-Feb 3, 1992"
New Zealand,Australia,New Zealand,5 wickets,Auckland,"Mar 12-16, 1993"
New Zealand,Pakistan,Pakistan,5 wickets,Auckland,"Feb 10-12, 1994"
New Zealand,South Africa,South Africa,93 runs,Auckland,"Mar 4-8, 1995"
New Zealand,Zimbabwe,drawn,,Auckland,"Jan 20-24, 1996"
New Zealand,England,drawn,,Auckland,"Jan 24-28, 1997"
New Zealand,Zimbabwe,New Zealand,inns & 13 runs,Auckland,"Feb 26-28, 1998"
New Zealand,South Africa,drawn,,Auckland,"Feb 27-Mar 3, 1999"
New Zealand,Australia,Australia,62 runs,Auckland,"Mar 11-15, 2000"
New Zealand,Pakistan,Pakistan,299 runs,Auckland,"Mar 8-12, 2001"
New Zealand,England,New Zealand,78 runs,Auckland,"Mar 30-Apr 3, 2002"
New Zealand,South Africa,New Zealand,9 wickets,Auckland,"Mar 18-22, 2004"
New Zealand,Australia,Australia,9 wickets,Auckland,"Mar 26-29, 2005"
New Zealand,West Indies,New Zealand,27 runs,Auckland,"Mar 9-13, 2006"
New Zealand,England,drawn,,Auckland,"Mar 22-26, 2013"
New Zealand,India,New Zealand,40 runs,Auckland,"Feb 6-9, 2014"
New Zealand,England,New Zealand,inns & 49 runs,Auckland,"Mar 22-26, 2018"
