Host Team,Away Team,Winner,Margin,Ground,Match Date
New Zealand,England,England,8 wickets,Dunedin,"Mar 11-16, 1955"
New Zealand,West Indies,West Indies,inns & 71 runs,Dunedin,"Feb 3-6, 1956"
New Zealand,South Africa,drawn,,Dunedin,"Feb 28-Mar 3, 1964"
New Zealand,England,drawn,,Dunedin,"Mar 4-8, 1966"
New Zealand,India,India,5 wickets,Dunedin,"Feb 15-20, 1968"
New Zealand,Pakistan,Pakistan,inns & 166 runs,Dunedin,"Feb 7-10, 1973"
New Zealand,West Indies,New Zealand,1 wicket,Dunedin,"Feb 8-13, 1980"
New Zealand,Pakistan,New Zealand,2 wickets,Dunedin,"Feb 9-14, 1985"
New Zealand,Sri Lanka,drawn,,Dunedin,"Mar 18-22, 1995"
New Zealand,Sri Lanka,New Zealand,inns & 36 runs,Dunedin,"Mar 7-10, 1997"
New Zealand,Bangladesh,New Zealand,9 wickets,Dunedin,"Jan 4-6, 2008"
New Zealand,West Indies,drawn,,Dunedin,"Dec 11-15, 2008"
New Zealand,Pakistan,New Zealand,32 runs,Dunedin,"Nov 24-28, 2009"
New Zealand,South Africa,drawn,,Dunedin,"Mar 7-11, 2012"
New Zealand,England,drawn,,Dunedin,"Mar 6-10, 2013"
New Zealand,West Indies,drawn,,Dunedin,"Dec 3-7, 2013"
New Zealand,Sri Lanka,New Zealand,122 runs,Dunedin,"Dec 10-14, 2015"
New Zealand,South Africa,drawn,,Dunedin,"Mar 8-12, 2017"
