Host Team,Away Team,Winner,Margin,Ground,Match Date
New Zealand,Sri Lanka,drawn,,Hamilton,"Feb 22-26, 1991"
New Zealand,Pakistan,Pakistan,33 runs,Hamilton,"Jan 2-5, 1993"
New Zealand,India,drawn,,Hamilton,"Mar 19-23, 1994"
New Zealand,Zimbabwe,drawn,,Hamilton,"Jan 13-17, 1996"
New Zealand,Sri Lanka,New Zealand,120 runs,Hamilton,"Mar 14-17, 1997"
New Zealand,India,drawn,,Hamilton,"Jan 2-6, 1999"
New Zealand,West Indies,New Zealand,9 wickets,Hamilton,"Dec 16-20, 1999"
New Zealand,Australia,Australia,6 wickets,Hamilton,"Mar 31-Apr 3, 2000"
New Zealand,Pakistan,New Zealand,inns & 185 runs,Hamilton,"Mar 27-30, 2001"
New Zealand,Bangladesh,New Zealand,inns & 52 runs,Hamilton,"Dec 18-22, 2001"
New Zealand,India,New Zealand,4 wickets,Hamilton,"Dec 19-22, 2002"
New Zealand,Pakistan,drawn,,Hamilton,"Dec 19-23, 2003"
New Zealand,South Africa,drawn,,Hamilton,"Mar 10-14, 2004"
New Zealand,England,New Zealand,189 runs,Hamilton,"Mar 5-9, 2008"
New Zealand,India,India,10 wickets,Hamilton,"Mar 18-21, 2009"
New Zealand,Bangladesh,New Zealand,121 runs,Hamilton,"Feb 15-19, 2010"
New Zealand,Australia,Australia,176 runs,Hamilton,"Mar 27-31, 2010"
New Zealand,Pakistan,Pakistan,10 wickets,Hamilton,"Jan 7-9, 2011"
New Zealand,South Africa,South Africa,9 wickets,Hamilton,"Mar 15-17, 2012"
New Zealand,West Indies,New Zealand,8 wickets,Hamilton,"Dec 19-22, 2013"
New Zealand,Sri Lanka,New Zealand,5 wickets,Hamilton,"Dec 18-21, 2015"
New Zealand,Pakistan,New Zealand,138 runs,Hamilton,"Nov 25-29, 2016"
New Zealand,South Africa,drawn,,Hamilton,"Mar 25-29, 2017"
New Zealand,West Indies,New Zealand,240 runs,Hamilton,"Dec 9-12, 2017"
New Zealand,Bangladesh,New Zealand,inns & 52 runs,Hamilton,"Feb 28-Mar 3, 2019"
New Zealand,England,drawn,,Hamilton,"Nov 29-Dec 3, 2019"
New Zealand,West Indies,New Zealand,inns & 134 runs,Hamilton,"Dec 3-6, 2020"
