Host Team,Away Team,Winner,Margin,Ground,Match Date
Pakistan,India,drawn,,Faisalabad,"Oct 16-21, 1978"
Pakistan,Australia,drawn,,Faisalabad,"Mar 6-11, 1980"
Pakistan,West Indies,West Indies,156 runs,Faisalabad,"Dec 8-12, 1980"
Pakistan,Sri Lanka,drawn,,Faisalabad,"Mar 14-19, 1982"
Pakistan,Australia,Pakistan,inns & 3 runs,Faisalabad,"Sep 30-Oct 5, 1982"
Pakistan,India,Pakistan,10 wickets,Faisalabad,"Jan 3-8, 1983"
Pakistan,England,drawn,,Faisalabad,"Mar 12-17, 1984"
Pakistan,India,drawn,,Faisalabad,"Oct 24-29, 1984"
Pakistan,Sri Lanka,drawn,,Faisalabad,"Oct 16-21, 1985"
Pakistan,West Indies,Pakistan,186 runs,Faisalabad,"Oct 24-29, 1986"
Pakistan,England,drawn,,Faisalabad,"Dec 7-12, 1987"
Pakistan,Australia,drawn,,Faisalabad,"Sep 23-28, 1988"
Pakistan,India,drawn,,Faisalabad,"Nov 23-28, 1989"
Pakistan,New Zealand,Pakistan,65 runs,Faisalabad,"Oct 26-31, 1990"
Pakistan,West Indies,West Indies,7 wickets,Faisalabad,"Nov 23-25, 1990"
Pakistan,Sri Lanka,Pakistan,3 wickets,Faisalabad,"Jan 2-7, 1992"
Pakistan,Sri Lanka,Sri Lanka,42 runs,Faisalabad,"Sep 15-19, 1995"
Pakistan,Zimbabwe,Pakistan,10 wickets,Faisalabad,"Oct 24-26, 1996"
Pakistan,South Africa,South Africa,53 runs,Faisalabad,"Oct 24-27, 1997"
Pakistan,England,drawn,,Faisalabad,"Nov 29-Dec 3, 2000"
Pakistan,South Africa,drawn,,Faisalabad,"Oct 24-28, 2003"
Pakistan,Sri Lanka,Sri Lanka,201 runs,Faisalabad,"Oct 20-24, 2004"
Pakistan,England,drawn,,Faisalabad,"Nov 20-24, 2005"
Pakistan,India,drawn,,Faisalabad,"Jan 21-25, 2006"
