Host Team,Away Team,Winner,Margin,Ground,Match Date
Pakistan,India,drawn,,Karachi,"Feb 26-Mar 1, 1955"
Pakistan,New Zealand,Pakistan,inns & 1 run,Karachi,"Oct 13-17, 1955"
Pakistan,Australia,Pakistan,9 wickets,Karachi,"Oct 11-17, 1956"
Pakistan,West Indies,Pakistan,10 wickets,Karachi,"Feb 20-25, 1959"
Pakistan,Australia,drawn,,Karachi,"Dec 4-9, 1959"
Pakistan,England,drawn,,Karachi,"Feb 2-7, 1962"
Pakistan,Australia,drawn,,Karachi,"Oct 24-29, 1964"
Pakistan,New Zealand,Pakistan,8 wickets,Karachi,"Apr 9-14, 1965"
Pakistan,England,drawn,,Karachi,"Mar 6-10, 1969"
Pakistan,New Zealand,drawn,,Karachi,"Oct 24-27, 1969"
Pakistan,England,drawn,,Karachi,"Mar 24-29, 1973"
Pakistan,West Indies,drawn,,Karachi,"Mar 1-6, 1975"
Pakistan,New Zealand,drawn,,Karachi,"Oct 30-Nov 4, 1976"
Pakistan,England,drawn,,Karachi,"Jan 18-23, 1978"
Pakistan,India,Pakistan,8 wickets,Karachi,"Nov 14-19, 1978"
Pakistan,Australia,Pakistan,7 wickets,Karachi,"Feb 27-Mar 2, 1980"
Pakistan,West Indies,drawn,,Karachi,"Dec 22-27, 1980"
Pakistan,Sri Lanka,Pakistan,204 runs,Karachi,"Mar 5-10, 1982"
Pakistan,Australia,Pakistan,9 wickets,Karachi,"Sep 22-27, 1982"
Pakistan,India,Pakistan,inns & 86 runs,Karachi,"Dec 23-27, 1982"
Pakistan,India,drawn,,Karachi,"Jan 30-Feb 4, 1983"
Pakistan,England,Pakistan,3 wickets,Karachi,"Mar 2-6, 1984"
Pakistan,New Zealand,drawn,,Karachi,"Dec 10-15, 1984"
Pakistan,Sri Lanka,Pakistan,10 wickets,Karachi,"Nov 7-11, 1985"
Pakistan,West Indies,drawn,,Karachi,"Nov 20-25, 1986"
Pakistan,England,drawn,,Karachi,"Dec 16-21, 1987"
Pakistan,Australia,Pakistan,inns & 188 runs,Karachi,"Sep 15-20, 1988"
Pakistan,India,drawn,,Karachi,"Nov 15-20, 1989"
Pakistan,New Zealand,Pakistan,inns & 43 runs,Karachi,"Oct 10-15, 1990"
Pakistan,West Indies,Pakistan,8 wickets,Karachi,"Nov 15-20, 1990"
Pakistan,Zimbabwe,Pakistan,131 runs,Karachi,"Dec 1-6, 1993"
Pakistan,Australia,Pakistan,1 wicket,Karachi,"Sep 28-Oct 2, 1994"
Pakistan,West Indies,Pakistan,10 wickets,Karachi,"Dec 6-9, 1997"
Pakistan,Australia,drawn,,Karachi,"Oct 22-26, 1998"
Pakistan,Sri Lanka,Pakistan,222 runs,Karachi,"Mar 12-15, 2000"
Pakistan,England,England,6 wickets,Karachi,"Dec 7-11, 2000"
Pakistan,Bangladesh,Pakistan,7 wickets,Karachi,"Aug 20-24, 2003"
Pakistan,Sri Lanka,Pakistan,6 wickets,Karachi,"Oct 28-Nov 1, 2004"
Pakistan,India,Pakistan,341 runs,Karachi,"Jan 29-Feb 1, 2006"
Pakistan,West Indies,Pakistan,199 runs,Karachi,"Nov 27-Dec 1, 2006"
Pakistan,South Africa,South Africa,160 runs,Karachi,"Oct 1-5, 2007"
Pakistan,Sri Lanka,drawn,,Karachi,"Feb 21-25, 2009"
Pakistan,Sri Lanka,Pakistan,263 runs,Karachi,"Dec 19-23, 2019"
Pakistan,South Africa,Pakistan,7 wickets,Karachi,"Jan 26-29, 2021"
