Host Team,Away Team,Winner,Margin,Ground,Match Date
Pakistan,India,drawn,,Lahore,"Jan 29-Feb 1, 1955"
Pakistan,New Zealand,Pakistan,4 wickets,Lahore,"Oct 26-31, 1955"
Pakistan,West Indies,West Indies,inns & 156 runs,Lahore,"Mar 26-31, 1959"
Pakistan,Australia,Australia,7 wickets,Lahore,"Nov 21-26, 1959"
Pakistan,England,England,5 wickets,Lahore,"Oct 21-26, 1961"
Pakistan,New Zealand,drawn,,Lahore,"Apr 2-7, 1965"
Pakistan,England,drawn,,Lahore,"Feb 21-24, 1969"
Pakistan,New Zealand,New Zealand,5 wickets,Lahore,"Oct 30-Nov 2, 1969"
Pakistan,England,drawn,,Lahore,"Mar 2-7, 1973"
Pakistan,West Indies,drawn,,Lahore,"Feb 15-20, 1975"
Pakistan,New Zealand,Pakistan,6 wickets,Lahore,"Oct 9-13, 1976"
Pakistan,England,drawn,,Lahore,"Dec 14-19, 1977"
Pakistan,India,Pakistan,8 wickets,Lahore,"Oct 27-Nov 1, 1978"
Pakistan,Australia,drawn,,Lahore,"Mar 18-23, 1980"
Pakistan,West Indies,drawn,,Lahore,"Nov 24-29, 1980"
Pakistan,Sri Lanka,Pakistan,inns & 102 runs,Lahore,"Mar 22-27, 1982"
Pakistan,Australia,Pakistan,9 wickets,Lahore,"Oct 14-19, 1982"
Pakistan,India,drawn,,Lahore,"Dec 10-15, 1982"
Pakistan,India,drawn,,Lahore,"Jan 23-28, 1983"
Pakistan,England,drawn,,Lahore,"Mar 19-24, 1984"
Pakistan,India,drawn,,Lahore,"Oct 17-22, 1984"
Pakistan,New Zealand,Pakistan,6 wickets,Lahore,"Nov 16-20, 1984"
Pakistan,West Indies,West Indies,inns & 10 runs,Lahore,"Nov 7-9, 1986"
Pakistan,England,Pakistan,inns & 87 runs,Lahore,"Nov 25-28, 1987"
Pakistan,Australia,drawn,,Lahore,"Oct 7-11, 1988"
Pakistan,India,drawn,,Lahore,"Dec 1-6, 1989"
Pakistan,New Zealand,Pakistan,9 wickets,Lahore,"Oct 18-23, 1990"
Pakistan,West Indies,drawn,,Lahore,"Dec 6-11, 1990"
Pakistan,Zimbabwe,drawn,,Lahore,"Dec 16-21, 1993"
Pakistan,Australia,drawn,,Lahore,"Nov 1-5, 1994"
Pakistan,New Zealand,New Zealand,44 runs,Lahore,"Nov 21-24, 1996"
Pakistan,Zimbabwe,drawn,,Lahore,"Dec 10-14, 1998"
Pakistan,Sri Lanka,drawn,,Lahore,"Mar 4-8, 1999"
Pakistan,England,drawn,,Lahore,"Nov 15-19, 2000"
Pakistan,Sri Lanka,Sri Lanka,8 wickets,Lahore,"Mar 6-10, 2002"
Pakistan,New Zealand,Pakistan,inns & 324 runs,Lahore,"May 1-3, 2002"
Pakistan,South Africa,Pakistan,8 wickets,Lahore,"Oct 17-21, 2003"
Pakistan,India,Pakistan,9 wickets,Lahore,"Apr 5-8, 2004"
Pakistan,England,Pakistan,inns & 100 runs,Lahore,"Nov 29-Dec 3, 2005"
Pakistan,India,drawn,,Lahore,"Jan 13-17, 2006"
Pakistan,West Indies,Pakistan,9 wickets,Lahore,"Nov 11-14, 2006"
Pakistan,South Africa,drawn,,Lahore,"Oct 8-12, 2007"
Pakistan,Sri Lanka,drawn,,Lahore,"Mar 1-5, 2009"
