Host Team,Away Team,Winner,Margin,Ground,Match Date
South Africa,England,England,inns & 202 runs,Cape Town,"Mar 25-26, 1889"
South Africa,England,England,inns & 189 runs,Cape Town,"Mar 19-22, 1892"
South Africa,England,England,inns & 33 runs,Cape Town,"Mar 21-23, 1896"
South Africa,England,England,210 runs,Cape Town,"Apr 1-4, 1899"
South Africa,Australia,Australia,10 wickets,Cape Town,"Nov 8-11, 1902"
South Africa,England,England,4 wickets,Cape Town,"Mar 24-27, 1906"
South Africa,England,South Africa,inns & 16 runs,Cape Town,"Mar 30-Apr 2, 1906"
South Africa,England,South Africa,4 wickets,Cape Town,"Mar 7-9, 1910"
South Africa,England,England,9 wickets,Cape Town,"Mar 11-14, 1910"
South Africa,Australia,Australia,10 wickets,Cape Town,"Nov 26-29, 1921"
South Africa,England,England,1 wicket,Cape Town,"Jan 1-4, 1923"
South Africa,England,England,87 runs,Cape Town,"Dec 31, 1927 - Jan 4, 1928"
South Africa,England,drawn,,Cape Town,"Jan 1-5, 1931"
South Africa,Australia,Australia,inns & 78 runs,Cape Town,"Jan 1-4, 1936"
South Africa,England,drawn,,Cape Town,"Dec 31, 1938 - Jan 4, 1939"
South Africa,England,drawn,,Cape Town,"Jan 1-5, 1949"
South Africa,Australia,Australia,8 wickets,Cape Town,"Dec 31, 1949 - Jan 4, 1950"
South Africa,New Zealand,drawn,,Cape Town,"Jan 1-5, 1954"
South Africa,England,England,312 runs,Cape Town,"Jan 1-5, 1957"
South Africa,Australia,Australia,inns & 141 runs,Cape Town,"Dec 31, 1957 - Jan 3, 1958"
South Africa,New Zealand,New Zealand,72 runs,Cape Town,"Jan 1-4, 1962"
South Africa,England,drawn,,Cape Town,"Jan 1-6, 1965"
South Africa,Australia,Australia,6 wickets,Cape Town,"Dec 31, 1966 - Jan 5, 1967"
South Africa,Australia,South Africa,170 runs,Cape Town,"Jan 22-27, 1970"
South Africa,India,drawn,,Cape Town,"Jan 2-6, 1993"
South Africa,Australia,Australia,9 wickets,Cape Town,"Mar 17-21, 1994"
South Africa,New Zealand,South Africa,7 wickets,Cape Town,"Jan 2-6, 1995"
South Africa,England,South Africa,10 wickets,Cape Town,"Jan 2-4, 1996"
South Africa,India,South Africa,282 runs,Cape Town,"Jan 2-6, 1997"
South Africa,Sri Lanka,South Africa,70 runs,Cape Town,"Mar 19-23, 1998"
South Africa,West Indies,South Africa,149 runs,Cape Town,"Jan 2-6, 1999"
South Africa,England,South Africa,inns & 37 runs,Cape Town,"Jan 2-5, 2000"
South Africa,Sri Lanka,South Africa,inns & 229 runs,Cape Town,"Jan 2-4, 2001"
South Africa,Australia,Australia,4 wickets,Cape Town,"Mar 8-12, 2002"
South Africa,Pakistan,South Africa,inns & 142 runs,Cape Town,"Jan 2-5, 2003"
South Africa,West Indies,drawn,,Cape Town,"Jan 2-6, 2004"
South Africa,England,South Africa,196 runs,Cape Town,"Jan 2-6, 2005"
South Africa,Zimbabwe,South Africa,inns & 21 runs,Cape Town,"Mar 4-5, 2005"
South Africa,Australia,Australia,7 wickets,Cape Town,"Mar 16-18, 2006"
South Africa,New Zealand,drawn,,Cape Town,"Apr 27-May 1, 2006"
South Africa,India,South Africa,5 wickets,Cape Town,"Jan 2-6, 2007"
South Africa,Pakistan,South Africa,5 wickets,Cape Town,"Jan 26-28, 2007"
South Africa,West Indies,South Africa,7 wickets,Cape Town,"Jan 2-5, 2008"
South Africa,Australia,South Africa,inns & 20 runs,Cape Town,"Mar 19-22, 2009"
South Africa,England,drawn,,Cape Town,"Jan 3-7, 2010"
South Africa,India,drawn,,Cape Town,"Jan 2-6, 2011"
South Africa,Australia,South Africa,8 wickets,Cape Town,"Nov 9-11, 2011"
South Africa,Sri Lanka,South Africa,10 wickets,Cape Town,"Jan 3-6, 2012"
South Africa,New Zealand,South Africa,inns & 27 runs,Cape Town,"Jan 2-4, 2013"
South Africa,Pakistan,South Africa,4 wickets,Cape Town,"Feb 14-17, 2013"
South Africa,Australia,Australia,245 runs,Cape Town,"Mar 1-5, 2014"
South Africa,West Indies,South Africa,8 wickets,Cape Town,"Jan 2-6, 2015"
South Africa,England,drawn,,Cape Town,"Jan 2-6, 2016"
South Africa,Sri Lanka,South Africa,282 runs,Cape Town,"Jan 2-5, 2017"
South Africa,India,South Africa,72 runs,Cape Town,"Jan 5-8, 2018"
South Africa,Australia,South Africa,322 runs,Cape Town,"Mar 22-25, 2018"
South Africa,Pakistan,South Africa,9 wickets,Cape Town,"Jan 3-6, 2019"
South Africa,England,England,189 runs,Cape Town,"Jan 3-7, 2020"
South Africa,India,South Africa,7 wickets,Cape Town,"Jan 11-14, 2022"
