Host Team,Away Team,Winner,Margin,Ground,Match Date
South Africa,England,drawn,,Centurion,"Nov 16-20, 1995"
South Africa,Australia,South Africa,8 wickets,Centurion,"Mar 21-24, 1997"
South Africa,Sri Lanka,South Africa,6 wickets,Centurion,"Mar 27-30, 1998"
South Africa,West Indies,South Africa,351 runs,Centurion,"Jan 15-18, 1999"
South Africa,England,England,2 wickets,Centurion,"Jan 14-18, 2000"
South Africa,Sri Lanka,South Africa,inns & 7 runs,Centurion,"Jan 20-22, 2001"
South Africa,Sri Lanka,South Africa,3 wickets,Centurion,"Nov 15-19, 2002"
South Africa,West Indies,South Africa,10 wickets,Centurion,"Jan 16-20, 2004"
South Africa,England,drawn,,Centurion,"Jan 21-25, 2005"
South Africa,Zimbabwe,South Africa,inns & 62 runs,Centurion,"Mar 11-13, 2005"
South Africa,New Zealand,South Africa,128 runs,Centurion,"Apr 15-19, 2006"
South Africa,Pakistan,South Africa,7 wickets,Centurion,"Jan 11-15, 2007"
South Africa,New Zealand,South Africa,inns & 59 runs,Centurion,"Nov 16-18, 2007"
South Africa,Bangladesh,South Africa,inns & 48 runs,Centurion,"Nov 26-28, 2008"
South Africa,England,drawn,,Centurion,"Dec 16-20, 2009"
South Africa,India,South Africa,inns & 25 runs,Centurion,"Dec 16-20, 2010"
South Africa,Sri Lanka,South Africa,inns & 81 runs,Centurion,"Dec 15-17, 2011"
South Africa,Pakistan,South Africa,inns & 18 runs,Centurion,"Feb 22-24, 2013"
South Africa,Australia,Australia,281 runs,Centurion,"Feb 12-15, 2014"
South Africa,West Indies,South Africa,inns & 220 runs,Centurion,"Dec 17-20, 2014"
South Africa,England,South Africa,280 runs,Centurion,"Jan 22-26, 2016"
South Africa,New Zealand,South Africa,204 runs,Centurion,"Aug 27-30, 2016"
South Africa,India,South Africa,135 runs,Centurion,"Jan 13-17, 2018"
South Africa,Pakistan,South Africa,6 wickets,Centurion,"Dec 26-28, 2018"
South Africa,England,South Africa,107 runs,Centurion,"Dec 26-29, 2019"
South Africa,Sri Lanka,South Africa,inns & 45 runs,Centurion,"Dec 26-29, 2020"
South Africa,India,India,113 runs,Centurion,"Dec 26-30, 2021"
