Host Team,Away Team,Winner,Margin,Ground,Match Date
South Africa,England,England,8 wickets,Port Elizabeth,"Mar 12-13, 1889"
South Africa,England,England,288 runs,Port Elizabeth,"Feb 13-14, 1896"
South Africa,England,England,10 wickets,Port Elizabeth,"Feb 27-Mar 3, 1914"
South Africa,England,England,3 wickets,Port Elizabeth,"Mar 5-9, 1949"
South Africa,Australia,Australia,inns & 259 runs,Port Elizabeth,"Mar 3-6, 1950"
South Africa,New Zealand,South Africa,5 wickets,Port Elizabeth,"Feb 5-9, 1954"
South Africa,England,South Africa,58 runs,Port Elizabeth,"Mar 1-5, 1957"
South Africa,Australia,Australia,8 wickets,Port Elizabeth,"Feb 28-Mar 4, 1958"
South Africa,New Zealand,New Zealand,40 runs,Port Elizabeth,"Feb 16-20, 1962"
South Africa,England,drawn,,Port Elizabeth,"Feb 12-17, 1965"
South Africa,Australia,South Africa,7 wickets,Port Elizabeth,"Feb 24-28, 1967"
South Africa,Australia,South Africa,323 runs,Port Elizabeth,"Mar 5-10, 1970"
South Africa,India,South Africa,9 wickets,Port Elizabeth,"Dec 26-29, 1992"
South Africa,England,drawn,,Port Elizabeth,"Dec 26-30, 1995"
South Africa,Australia,Australia,2 wickets,Port Elizabeth,"Mar 14-17, 1997"
South Africa,Pakistan,South Africa,259 runs,Port Elizabeth,"Mar 6-10, 1998"
South Africa,West Indies,South Africa,178 runs,Port Elizabeth,"Dec 10-12, 1998"
South Africa,England,drawn,,Port Elizabeth,"Dec 9-13, 1999"
South Africa,New Zealand,South Africa,7 wickets,Port Elizabeth,"Nov 30-Dec 4, 2000"
South Africa,India,drawn,,Port Elizabeth,"Nov 16-20, 2001"
South Africa,England,England,7 wickets,Port Elizabeth,"Dec 17-21, 2004"
South Africa,Pakistan,Pakistan,5 wickets,Port Elizabeth,"Jan 19-22, 2007"
South Africa,West Indies,West Indies,128 runs,Port Elizabeth,"Dec 26-29, 2007"
South Africa,New Zealand,South Africa,inns & 193 runs,Port Elizabeth,"Jan 11-14, 2013"
South Africa,Australia,South Africa,231 runs,Port Elizabeth,"Feb 20-23, 2014"
South Africa,West Indies,drawn,,Port Elizabeth,"Dec 26-30, 2014"
South Africa,Sri Lanka,South Africa,206 runs,Port Elizabeth,"Dec 26-30, 2016"
South Africa,Zimbabwe,South Africa,inns & 120 runs,Port Elizabeth,"Dec 26-27, 2017"
South Africa,Australia,South Africa,6 wickets,Port Elizabeth,"Mar 9-12, 2018"
South Africa,Sri Lanka,Sri Lanka,8 wickets,Port Elizabeth,"Feb 21-23, 2019"
South Africa,England,England,inns & 53 runs,Port Elizabeth,"Jan 16-20, 2020"
