Host Team,Away Team,Winner,Margin,Ground,Match Date
India,England,drawn,,Kolkata,"Jan 1-6, 1982"
Australia,West Indies,drawn,,Sydney,"Jan 2-6, 1982"
India,England,drawn,,Chennai,"Jan 13-18, 1982"
Australia,West Indies,West Indies,5 wickets,Adelaide,"Jan 30-Feb 3, 1982"
India,England,drawn,,Kanpur,"Jan 30-Feb 4, 1982"
Sri Lanka,England,England,7 wickets,Colombo (PSS),"Feb 17-21, 1982"
New Zealand,Australia,drawn,,Wellington,"Feb 26-Mar 2, 1982"
Pakistan,Sri Lanka,Pakistan,204 runs,Karachi,"Mar 5-10, 1982"
New Zealand,Australia,New Zealand,5 wickets,Auckland,"Mar 12-16, 1982"
Pakistan,Sri Lanka,drawn,,Faisalabad,"Mar 14-19, 1982"
New Zealand,Australia,Australia,8 wickets,Christchurch,"Mar 19-22, 1982"
Pakistan,Sri Lanka,Pakistan,inns & 102 runs,Lahore,"Mar 22-27, 1982"
England,India,England,7 wickets,Lord's,"Jun 10-15, 1982"
England,India,drawn,,Manchester,"Jun 24-28, 1982"
England,India,drawn,,The Oval,"Jul 8-13, 1982"
England,Pakistan,England,113 runs,Birmingham,"Jul 29-Aug 1, 1982"
England,Pakistan,Pakistan,10 wickets,Lord's,"Aug 12-16, 1982"
England,Pakistan,England,3 wickets,Leeds,"Aug 26-31, 1982"
India,Sri Lanka,drawn,,Chennai,"Sep 17-22, 1982"
Pakistan,Australia,Pakistan,9 wickets,Karachi,"Sep 22-27, 1982"
Pakistan,Australia,Pakistan,inns & 3 runs,Faisalabad,"Sep 30-Oct 5, 1982"
Pakistan,Australia,Pakistan,9 wickets,Lahore,"Oct 14-19, 1982"
Australia,England,drawn,,Perth,"Nov 12-17, 1982"
Australia,England,Australia,7 wickets,Brisbane,"Nov 26-Dec 1, 1982"
Australia,England,Australia,8 wickets,Adelaide,"Dec 10-15, 1982"
Pakistan,India,drawn,,Lahore,"Dec 10-15, 1982"
Pakistan,India,Pakistan,inns & 86 runs,Karachi,"Dec 23-27, 1982"
Australia,England,England,3 runs,Melbourne,"Dec 26-30, 1982"
